account_canonical_id,run_datetime,tripped,trigger,domain,excess_cash_amount
non-registered-qepfvlze,2024-07-15T16:23:37.828992,TRUE,Portfolio rebalance,Assets,
non-registered-n2vqyxc3,2024-07-15T13:30:16.884010,TRUE,Excess cash,Assets,
tfsa-43FaOo3DxQ,2024-07-15T16:23:37.828992,TRUE,Portfolio rebalance,Assets,
non-registered-0n2bkqow,2024-07-10T13:30:16.627990,TRUE,Excess cash,Assets,
tfsa-6zuwi4ge,2024-07-15T13:30:16.884010,TRUE,Excess cash,Assets,
non-registered-SFiny_VnRQ,2024-07-12T13:30:17.148257,TRUE,Excess cash,Assets,
rrsp-raqjkwwv,2024-07-12T13:30:17.148257,TRUE,Excess cash,Assets,
tfsa-6zuwi4ge,2024-07-15T16:23:37.828992,TRUE,Excess cash,Assets,
tfsa-nseQO2XMrA,2024-07-10T13:30:16.627990,TRUE,Excess cash,Assets,
rrsp-ljpphkou,2024-07-15T13:30:16.884010,TRUE,Excess cash,Assets,
tfsa-w-scptie,2024-07-09T13:30:14.958097,TRUE,Excess cash,Assets,
non-registered-s_djzinb,2024-07-11T13:30:15.582749,TRUE,Excess cash,Assets,
non-registered-pefkuqpy,2024-07-11T13:30:15.582749,TRUE,Excess cash,Assets,
tfsa-iH9E9qFIGA,2024-07-10T13:30:16.627990,TRUE,Excess cash,Assets,
tfsa-ah42gxiv,2024-07-11T13:30:15.582749,TRUE,Excess cash,Assets,
tfsa-lzhd9_uu,2024-07-09T16:18:58.633409,TRUE,Excess cash,Assets,
tfsa-g14zwlaa,2024-07-11T13:30:15.582749,TRUE,Excess cash,Assets,
non-registered-naispneg,2024-07-09T13:30:14.958097,TRUE,Excess cash,Assets,
non-registered-uqa8hiyy,2024-07-09T16:18:58.633409,TRUE,Excess cash,Assets,
rrsp-_zARXRN7-g,2024-07-15T13:30:16.884010,TRUE,Excess cash,Assets,
tfsa-jzzmer73,2024-07-10T13:30:16.627990,TRUE,Excess cash,Assets,
rrsp-ryio55ap,2024-07-15T13:30:16.884010,TRUE,Excess cash,Assets,
non-registered-1jmht9mh,2024-07-15T16:23:37.828992,TRUE,Excess cash,Assets,
tfsa-bftrnh6q,2024-07-15T13:30:16.884010,TRUE,Excess cash,Assets,
tfsa-7gn_oy5m,2024-07-15T16:23:37.828992,TRUE,Excess cash,Assets,
tfsa-pz9ktg04,2024-07-12T13:30:17.148257,TRUE,Excess cash,Assets,
tfsa--hBAYq3ZzQ,2024-07-11T13:30:15.582749,TRUE,Excess cash,Assets,
non-registered-mtoru_el,2024-07-15T16:23:37.828992,TRUE,Excess cash,Assets,
non-registered-tgjtx0dx,2024-07-15T13:30:16.884010,TRUE,Excess cash,Assets,
tfsa-kiw67vsd,2024-07-15T16:23:37.828992,TRUE,Excess cash,Assets,
non-registered-anxuopcy,2024-07-10T13:30:16.627990,TRUE,Excess cash,Assets,
tfsa-0wG3TIWx1g,2024-07-15T16:23:37.828992,TRUE,Excess cash,Assets,
tfsa-JYdFOopAnQ,2024-07-15T13:30:16.884010,TRUE,Portfolio rebalance,Assets,
tfsa-GQf4yRRz_g,2024-07-15T16:23:37.828992,TRUE,Excess cash,Assets,
non-registered-lzur7iyy,2024-07-10T13:30:16.627990,TRUE,Excess cash,Assets,
corporate-9zvknqw2,2024-07-15T13:30:16.884010,TRUE,Excess cash,Assets,
non-registered-uqa8hiyy,2024-07-11T13:30:15.582749,TRUE,Excess cash,Assets,
tfsa-nkpldoqh,2024-07-09T16:18:58.633409,TRUE,Excess cash,Assets,
tfsa-J0KiYbjhxw,2024-07-12T13:30:17.148257,TRUE,Liquidation,Assets,
tfsa-vb2b9djh,2024-07-15T13:30:16.884010,TRUE,Excess cash,Assets,
tfsa-sjiu5v4j,2024-07-10T13:30:16.627990,TRUE,Excess cash,Assets,
tfsa-1395ceiw,2024-07-09T13:30:14.958097,TRUE,Excess cash,Assets,
joint-tmbedt3t,2024-07-10T13:30:16.627990,TRUE,Excess cash,Assets,
non-registered-sobrqvzw,2024-07-15T16:23:37.828992,TRUE,Excess cash,Assets,
rrsp-xasmyx51fw,2024-07-12T13:30:17.148257,TRUE,Excess cash,Assets,
tfsa-g1bezgq7,2024-07-15T13:30:16.884010,TRUE,Excess cash,Assets,
non-registered-adwold_g,2024-07-15T13:30:16.884010,TRUE,Excess cash,Assets,
non-registered-uqa8hiyy,2024-07-10T13:30:16.627990,TRUE,Excess cash,Assets,
tfsa-bkmcypw5,2024-07-15T16:23:37.828992,TRUE,Excess cash,Assets,
rrsp-g0YVOsDceg,2024-07-15T13:30:16.884010,TRUE,Portfolio rebalance,Assets,
non-registered-fqllt2fw,2024-07-11T13:30:15.582749,TRUE,Excess cash,Assets,
non-registered-yind4skn,2024-07-15T16:23:37.828992,TRUE,Excess cash,Assets,
tfsa-gkxexao3,2024-07-15T13:30:16.884010,TRUE,Excess cash,Assets,
tfsa-qlqqgqpp,2024-07-09T16:18:58.633409,TRUE,Excess cash,Assets,
tfsa-u0izfynf,2024-07-11T13:30:15.582749,TRUE,Excess cash,Assets,
tfsa-d9vdj8di,2024-07-09T13:30:14.958097,TRUE,Excess cash,Assets,
tfsa-7XY2wqt3Eg,2024-07-15T13:30:16.884010,TRUE,Portfolio rebalance,Assets,
